rep_id,date,client_name,visit_duration,value_usd,status,city,is_absent,notes
101,11-05-2023,Stark Ltd,30,2910.3,pending,krakow,yes,Postponed due to weather
101,26-03-2023,Globex Inc,38,1806.73,completed,warsaw,no,No contact made
104,28-06-2023,Soylent,25,1766.84,Completed,gdansk,YES,Possible upsell
106,06-02-2023,Acme Corp,57,2272.14,completed,warsaw,yes,No contact made
102,2023/03/15,Soylent,missing,583.85,canceled,Wroclaw,No,Possible upsell
106,,Acme Corp,57,1489.64,missed,warsaw,No,No contact made
104,17.02.2023,-,missing,2904.44,completed,gdansk,no,Possible upsell
104,04.05.2023,missing,89,1652.04,Completed,gdansk,No,Postponed due to weather
101,04-02-2023,Umbrella Corp,35,1594.44,Completed,poznan,YES,No contact made
105,08-03-2023,missing,35,1431.18,pending,gdansk,yes,No contact made
101,08-06-2023,-,69,2874.55,pending,warsaw,YES,Follow-up scheduled
102,,Soylent,30,1979.48,canceled,wroclaw,yes,No contact made
105,11.04.2023,Acme Corp,89,386.53,canceled,warsaw,no,Meeting went well
103,,Initech,83,1729.99,Completed,warsaw,no,No contact made
104,2023/05/29,Wayne Ent.,missing,2865.63,completed,Krakow,yes,Unresponsive
103,29-06-2023,Initech,24,2681.68,pending,Krakow,YES,Possible upsell
106,,Wayne Ent.,33,895.71,missed,poznan,No,Unresponsive
104,30.06.2023,Umbrella Corp,72,706.25,completed,warsaw,no,Unresponsive
105,19-06-2023,-,missing,422.63,canceled,poznan,No,Follow-up scheduled
102,11.01.2023,Acme Corp,32,2564.9,completed,Poznan,yes,Follow-up scheduled
105,2023/04/09,missing,32,652.82,pending,Warsaw,No,-
106,17.04.2023,Stark Ltd,81,1317.61,missed,krakow,No,Very interested client
102,2023/02/07,Wayne Ent.,missing,2737.69,pending,Gdansk,yes,Did not attend
102,12.03.2023,missing,76,647.17,pending,Warsaw,yes,missing
104,17-04-2023,Stark Ltd,76,831.83,canceled,Warsaw,no,Unresponsive
106,,Stark Ltd,49,1206.24,pending,Wroclaw,yes,Possible upsell
106,02.02.2023,Stark Ltd,89,2283.11,completed,Gdansk,no,Unresponsive
101,,missing,73,2349.4,Completed,Warsaw,no,Possible upsell
106,,Globex Inc,70,1589.96,Completed,poznan,yes,No contact made
103,2023/02/14,Globex Inc,28,592.13,pending,Krakow,yes,No decision yet
101,25.01.2023,missing,70,2633.06,canceled,wroclaw,No,-
102,31-01-2023,-,missing,1506.97,canceled,poznan,no,Possible upsell
105,01.05.2023,Initech,88,2154.39,canceled,gdansk,YES,Unresponsive
102,2023/03/21,Initech,79,485.14,pending,poznan,YES,Meeting went well
101,,-,missing,,missed,Gdansk,no,Follow-up scheduled
101,,missing,missing,1399.96,Completed,Gdansk,no,No decision yet
106,,missing,28,1824.74,Completed,Warsaw,no,Postponed due to weather
103,2023/04/17,Soylent,78,2157.07,canceled,gdansk,yes,Meeting went well
102,,Acme Corp,43,2497.72,canceled,warsaw,yes,Follow-up scheduled
101,2023/03/30,Globex Inc,42,256.61,missed,warsaw,no,missing
101,2023/04/17,Initech,59,1791.24,pending,warsaw,YES,Meeting went well
104,2023/04/21,Soylent,44,602.54,missed,krakow,no,Postponed due to weather
105,2023/02/13,-,35,1465.83,pending,Wroclaw,no,Unresponsive
106,,Globex Inc,54,2035.66,missed,gdansk,no,Very interested client
106,,missing,58,478.48,completed,Wroclaw,No,No contact made
104,13-06-2023,Soylent,53,686.59,canceled,wroclaw,YES,Did not attend
103,06-04-2023,Initech,65,1388.28,completed,Warsaw,No,Did not attend
104,2023/04/10,Soylent,50,399.07,Completed,Gdansk,no,No decision yet
103,2023/04/07,Umbrella Corp,66,1976.07,Completed,Krakow,no,missing
105,2023/02/28,Stark Ltd,missing,626.05,canceled,Krakow,yes,Follow-up scheduled
101,2023/03/08,Umbrella Corp,43,1201.06,Completed,Gdansk,no,Postponed due to weather
106,,missing,80,1639.69,Completed,wroclaw,no,Did not attend
106,19-03-2023,Stark Ltd,41,658.64,pending,Poznan,yes,Very interested client
102,,Wayne Ent.,49,,missed,Warsaw,no,Follow-up scheduled
102,06-01-2023,Globex Inc,missing,521.98,canceled,gdansk,No,No decision yet
106,2023/06/16,missing,47,876.8,canceled,poznan,YES,Meeting went well
102,,Stark Ltd,36,1135.78,canceled,wroclaw,YES,Very interested client
106,06.01.2023,Acme Corp,70,2242.6,canceled,Wroclaw,no,Did not attend
105,10.06.2023,Initech,62,2829.6,pending,Warsaw,No,Postponed due to weather
104,08-05-2023,Soylent,38,2428.83,pending,gdansk,no,Possible upsell
101,2023/02/23,Soylent,36,,missed,Wroclaw,YES,Follow-up scheduled
101,2023/01/17,Soylent,51,2698.28,pending,Wroclaw,yes,Unresponsive
103,,Soylent,74,,missed,warsaw,no,No decision yet
106,,Globex Inc,22,840.55,pending,wroclaw,no,No contact made
102,2023/03/27,Umbrella Corp,50,2453.51,completed,Gdansk,no,Did not attend
103,2023/05/22,Soylent,83,2077.96,completed,Wroclaw,yes,Did not attend
101,18.06.2023,Globex Inc,38,338.36,Completed,gdansk,no,Follow-up scheduled
102,22.01.2023,Umbrella Corp,32,1316.97,canceled,wroclaw,no,Unresponsive
103,04-01-2023,Umbrella Corp,missing,2233.34,canceled,Warsaw,YES,-
102,,-,24,2521.21,completed,Krakow,YES,Follow-up scheduled
105,29-06-2023,missing,46,,Completed,Poznan,No,Meeting went well
101,25-04-2023,Globex Inc,missing,446.18,canceled,wroclaw,no,Did not attend
106,05.02.2023,missing,61,,canceled,krakow,no,Follow-up scheduled
106,27.04.2023,Globex Inc,31,2725.75,Completed,Wroclaw,No,Possible upsell
105,17.05.2023,missing,90,2396.0,Completed,Krakow,YES,Postponed due to weather
106,29-04-2023,Umbrella Corp,37,,canceled,Warsaw,no,Possible upsell
106,22.04.2023,Globex Inc,missing,2449.48,canceled,Wroclaw,yes,Meeting went well
102,,missing,47,956.82,missed,poznan,no,Possible upsell
102,14-03-2023,Wayne Ent.,65,637.1,Completed,warsaw,No,Unresponsive
105,2023/01/02,-,75,2590.42,Completed,Krakow,no,Very interested client
101,04.04.2023,Soylent,missing,941.34,completed,Gdansk,no,No contact made
102,15-02-2023,Acme Corp,31,487.0,missed,Warsaw,no,No decision yet
104,25-01-2023,Umbrella Corp,47,405.53,missed,warsaw,no,Postponed due to weather
102,2023/03/16,-,22,387.84,missed,Krakow,No,Postponed due to weather
101,,Stark Ltd,29,1616.42,canceled,Krakow,YES,Very interested client
106,,-,48,272.13,missed,Wroclaw,No,No contact made
106,2023/02/18,Acme Corp,missing,584.27,Completed,krakow,No,No decision yet
103,2023/06/18,Globex Inc,20,2030.48,completed,Warsaw,YES,No decision yet
106,28.05.2023,Umbrella Corp,79,1653.36,completed,Wroclaw,yes,Possible upsell
102,14-01-2023,Wayne Ent.,missing,2234.24,canceled,Warsaw,No,-
102,2023/03/20,missing,missing,886.77,completed,wroclaw,yes,Possible upsell
106,22.01.2023,Globex Inc,89,778.33,missed,Krakow,yes,Postponed due to weather
103,09.03.2023,missing,73,2173.29,missed,Krakow,YES,Follow-up scheduled
101,13.02.2023,Wayne Ent.,83,2963.5,Completed,Krakow,no,missing
103,27.06.2023,Stark Ltd,missing,2963.87,completed,Poznan,no,Possible upsell
103,18.02.2023,Initech,80,649.26,missed,gdansk,No,missing
104,07.06.2023,Wayne Ent.,65,,completed,Wroclaw,no,Unresponsive
103,07-05-2023,Umbrella Corp,56,1073.25,Completed,Warsaw,yes,missing
106,24.02.2023,Globex Inc,75,2921.55,completed,Krakow,no,Unresponsive
102,2023/01/16,missing,40,612.88,Completed,wroclaw,no,Possible upsell
101,2023/05/18,-,68,1205.04,Completed,Gdansk,yes,Meeting went well
105,17-01-2023,Acme Corp,missing,292.44,missed,Wroclaw,YES,Very interested client
101,28-02-2023,Soylent,22,2492.29,missed,wroclaw,No,-
101,,missing,78,1485.42,pending,gdansk,yes,-
104,2023/03/31,Wayne Ent.,61,1093.35,pending,wroclaw,YES,Unresponsive
103,18.05.2023,Stark Ltd,missing,2845.61,Completed,Wroclaw,YES,No decision yet
106,26.04.2023,Umbrella Corp,missing,335.17,canceled,Wroclaw,yes,Meeting went well
103,2023/03/02,Globex Inc,missing,1550.94,completed,Krakow,no,Did not attend
103,16-01-2023,-,25,1005.35,Completed,poznan,no,missing
101,08-02-2023,Stark Ltd,missing,2846.88,pending,poznan,no,Unresponsive
101,16.03.2023,Soylent,68,2072.01,completed,wroclaw,no,-
104,2023/01/14,Soylent,missing,942.86,completed,poznan,yes,Very interested client
106,2023/05/21,Soylent,missing,,canceled,Wroclaw,YES,Meeting went well
105,18-01-2023,Wayne Ent.,57,1241.98,Completed,Warsaw,No,No decision yet
102,2023/02/05,Stark Ltd,59,447.63,canceled,Gdansk,No,Meeting went well
103,2023/05/16,Acme Corp,67,1184.55,Completed,warsaw,yes,Postponed due to weather
102,,Soylent,32,1978.74,missed,Gdansk,no,Postponed due to weather
106,,Initech,45,1208.08,pending,Warsaw,no,No contact made
106,,Wayne Ent.,66,2146.96,missed,poznan,YES,Meeting went well
101,03.05.2023,Wayne Ent.,22,470.58,canceled,krakow,yes,No decision yet
106,2023/01/06,-,21,473.15,Completed,Wroclaw,YES,-
106,,missing,66,567.26,canceled,Gdansk,No,Unresponsive
103,,Initech,missing,2169.88,canceled,wroclaw,YES,Meeting went well
101,18.03.2023,Globex Inc,missing,294.97,canceled,Warsaw,yes,Did not attend
103,17.01.2023,Soylent,72,,pending,wroclaw,No,Postponed due to weather
106,2023/02/04,Umbrella Corp,80,2327.87,pending,Poznan,No,Did not attend
106,,Initech,61,1521.95,missed,Wroclaw,YES,Follow-up scheduled
103,2023/06/20,Globex Inc,missing,2929.02,Completed,Warsaw,yes,Postponed due to weather
104,28-06-2023,Umbrella Corp,38,2083.97,Completed,Krakow,YES,No contact made
101,18.02.2023,Stark Ltd,71,428.43,pending,Poznan,YES,Follow-up scheduled
104,,-,29,331.52,missed,Krakow,YES,Meeting went well
101,28.04.2023,-,34,1630.06,completed,warsaw,yes,missing
106,29.01.2023,Initech,missing,287.65,completed,gdansk,YES,missing
101,28.04.2023,Globex Inc,35,1769.69,Completed,warsaw,No,Postponed due to weather
106,02.01.2023,Globex Inc,44,957.62,completed,gdansk,No,No decision yet
104,,Initech,30,1051.51,canceled,wroclaw,no,missing
101,,Wayne Ent.,39,1432.68,missed,gdansk,YES,Postponed due to weather
104,,Stark Ltd,62,,canceled,poznan,YES,Unresponsive
102,04-03-2023,Wayne Ent.,25,1974.81,missed,gdansk,YES,Possible upsell
103,08.05.2023,Initech,77,1840.93,canceled,Poznan,yes,missing
105,2023/02/27,Acme Corp,43,452.64,completed,Poznan,YES,missing
103,05.02.2023,missing,26,1578.58,pending,poznan,No,Possible upsell
102,08-05-2023,Umbrella Corp,38,266.07,missed,Gdansk,No,Postponed due to weather
106,2023/03/04,-,missing,2220.66,missed,Wroclaw,YES,Possible upsell
101,,Globex Inc,58,601.49,canceled,Wroclaw,no,No decision yet
106,2023/02/06,Umbrella Corp,33,1506.2,pending,poznan,yes,No contact made
105,2023/01/23,Wayne Ent.,40,311.16,canceled,warsaw,No,Unresponsive
103,2023/01/03,Stark Ltd,21,2544.42,Completed,wroclaw,YES,Possible upsell
102,2023/06/01,Initech,missing,636.33,completed,Poznan,No,Very interested client
104,,Acme Corp,48,2385.39,canceled,Krakow,No,Postponed due to weather
105,06.03.2023,Umbrella Corp,missing,1370.64,pending,wroclaw,no,Did not attend
101,08.01.2023,missing,62,1222.95,Completed,Krakow,no,Very interested client
105,2023/06/16,Initech,48,,completed,Gdansk,No,Very interested client
101,,Globex Inc,57,2465.22,Completed,Krakow,YES,Did not attend
102,20-05-2023,Acme Corp,81,2510.09,canceled,Gdansk,yes,No decision yet
102,2023/03/01,Soylent,missing,,canceled,Warsaw,yes,No contact made
105,,Globex Inc,47,1503.48,missed,wroclaw,No,Did not attend
106,,missing,22,631.6,pending,Krakow,yes,Did not attend
101,26-04-2023,Initech,35,926.81,completed,gdansk,no,Postponed due to weather
106,,Soylent,missing,2239.39,canceled,gdansk,YES,Unresponsive
103,2023/05/31,Acme Corp,42,1249.33,completed,Krakow,no,Unresponsive
101,2023/04/15,-,missing,1720.84,completed,warsaw,yes,Possible upsell
103,2023/05/08,Soylent,43,388.86,Completed,Krakow,YES,Possible upsell
103,02-06-2023,Globex Inc,missing,1908.56,pending,poznan,No,Postponed due to weather
104,29-03-2023,Initech,59,674.64,pending,warsaw,yes,Very interested client
105,13-01-2023,Wayne Ent.,87,547.08,completed,krakow,No,Possible upsell
101,2023/03/14,-,missing,2862.96,pending,Krakow,YES,Follow-up scheduled
101,,Globex Inc,39,1575.29,canceled,Wroclaw,yes,-
103,,Soylent,39,1730.49,completed,poznan,YES,No decision yet
104,08.04.2023,-,60,1169.01,completed,warsaw,yes,Possible upsell
102,,-,65,360.39,missed,poznan,yes,-
102,2023/02/08,Soylent,missing,2560.26,canceled,Gdansk,YES,missing
103,23-01-2023,Initech,missing,2109.68,missed,Poznan,YES,No decision yet
103,12-05-2023,Acme Corp,66,2898.15,completed,poznan,yes,No decision yet
102,,Stark Ltd,33,2509.09,pending,warsaw,No,Did not attend
103,07-05-2023,Acme Corp,86,2265.07,canceled,wroclaw,No,No decision yet
102,,Globex Inc,35,1507.55,pending,gdansk,no,Unresponsive
102,09-02-2023,Wayne Ent.,missing,2332.01,canceled,warsaw,yes,Postponed due to weather
106,2023/03/16,Initech,missing,1458.35,completed,krakow,No,Follow-up scheduled
105,23.02.2023,Wayne Ent.,24,1981.99,completed,Poznan,No,Meeting went well
104,29-06-2023,Globex Inc,35,1753.62,pending,krakow,yes,Very interested client
101,07-05-2023,Umbrella Corp,54,211.43,pending,Wroclaw,YES,Very interested client
104,2023/06/18,Globex Inc,74,2638.61,Completed,Warsaw,No,Meeting went well
102,11.04.2023,Soylent,25,,missed,warsaw,yes,No decision yet
101,2023/04/16,missing,69,1832.06,completed,wroclaw,YES,Very interested client
102,03.03.2023,Wayne Ent.,53,628.48,Completed,Gdansk,YES,No decision yet
104,,-,20,1654.63,pending,wroclaw,No,Meeting went well
105,30-05-2023,Acme Corp,46,2192.51,canceled,gdansk,no,Did not attend
103,,Initech,missing,1037.09,Completed,krakow,yes,Follow-up scheduled
106,2023/06/16,Wayne Ent.,missing,2042.58,Completed,Poznan,YES,Unresponsive
103,07-05-2023,Stark Ltd,88,302.36,canceled,krakow,no,-
101,04.05.2023,-,54,1811.17,Completed,Gdansk,yes,Follow-up scheduled
103,14.02.2023,Wayne Ent.,57,1997.13,missed,Warsaw,no,Very interested client
103,16.04.2023,-,55,2998.62,Completed,krakow,yes,Possible upsell
106,11.03.2023,Soylent,43,1656.72,Completed,Poznan,no,Possible upsell
103,2023/02/07,Globex Inc,84,1099.34,pending,krakow,YES,No contact made
105,19.04.2023,Acme Corp,77,2023.29,canceled,poznan,no,Did not attend
103,2023/01/19,-,missing,2250.06,pending,poznan,No,Postponed due to weather
105,,Globex Inc,79,1027.13,completed,krakow,No,Very interested client
103,2023/04/15,Stark Ltd,86,1139.74,completed,Wroclaw,no,No decision yet
102,30-01-2023,Wayne Ent.,missing,2621.87,pending,Krakow,yes,No decision yet
106,,Umbrella Corp,78,491.03,canceled,warsaw,yes,Unresponsive
106,22-05-2023,Umbrella Corp,22,2578.15,Completed,poznan,No,-
105,27-04-2023,Umbrella Corp,83,804.93,Completed,Poznan,YES,No contact made
105,,-,62,245.46,completed,warsaw,No,Possible upsell
103,28.04.2023,Initech,52,1636.0,Completed,krakow,No,No decision yet
106,,Stark Ltd,54,2613.06,missed,krakow,YES,Very interested client
106,,-,missing,230.09,pending,wroclaw,no,Very interested client
103,2023/01/30,Wayne Ent.,24,2926.75,missed,warsaw,YES,missing
105,16.06.2023,Initech,63,268.01,Completed,Warsaw,yes,Very interested client
106,,Initech,missing,1168.45,missed,poznan,no,Very interested client
102,16-03-2023,-,52,534.83,canceled,wroclaw,yes,No decision yet
101,,missing,54,262.48,canceled,Poznan,no,missing
106,2023/05/22,Initech,46,258.38,Completed,Gdansk,YES,No decision yet
105,27-01-2023,missing,missing,462.38,completed,Wroclaw,no,Did not attend
106,17-01-2023,-,missing,1981.15,canceled,warsaw,No,Possible upsell
103,26-01-2023,-,83,,missed,warsaw,yes,Possible upsell
103,,Wayne Ent.,83,2765.68,Completed,Krakow,yes,Postponed due to weather
103,2023/03/02,Initech,77,1726.95,canceled,poznan,YES,Unresponsive
102,20-06-2023,-,40,2477.78,pending,krakow,no,Did not attend
106,2023/04/19,Umbrella Corp,67,,missed,wroclaw,No,Very interested client
103,,Soylent,27,,canceled,krakow,YES,Postponed due to weather
106,31.01.2023,missing,missing,776.44,canceled,wroclaw,yes,Very interested client
103,,-,78,425.64,canceled,Wroclaw,yes,No decision yet
106,06.05.2023,missing,60,2530.08,canceled,Poznan,YES,Postponed due to weather
105,06-02-2023,missing,88,,canceled,Wroclaw,yes,Did not attend
105,30-03-2023,-,42,260.25,completed,Warsaw,yes,Follow-up scheduled
105,,Wayne Ent.,68,1992.54,completed,krakow,no,-
104,,-,82,1832.37,completed,poznan,no,Follow-up scheduled
102,,Wayne Ent.,missing,1430.69,canceled,Krakow,yes,Very interested client
103,,Wayne Ent.,25,2069.23,pending,Poznan,No,Unresponsive
104,09.06.2023,Initech,56,1157.64,completed,gdansk,no,Very interested client
104,2023/03/12,Umbrella Corp,50,1140.2,completed,krakow,No,Unresponsive
105,07-03-2023,Acme Corp,missing,1390.6,completed,krakow,yes,No contact made
106,,Umbrella Corp,51,2499.28,Completed,warsaw,no,Possible upsell
101,29-01-2023,missing,37,2816.83,canceled,warsaw,YES,missing
103,,Soylent,47,2110.45,pending,Warsaw,yes,Did not attend
104,2023/01/27,Initech,38,1643.05,Completed,Wroclaw,YES,Follow-up scheduled
104,,Wayne Ent.,51,1238.33,completed,Warsaw,yes,Very interested client
104,2023/04/03,Initech,79,322.24,missed,Gdansk,yes,Did not attend
104,10-03-2023,Acme Corp,64,2363.31,Completed,Poznan,yes,Meeting went well
103,20-03-2023,missing,23,,missed,Warsaw,No,No contact made
105,,Wayne Ent.,missing,2273.88,completed,Gdansk,no,Postponed due to weather
101,21-01-2023,Umbrella Corp,missing,2388.0,canceled,Warsaw,yes,Follow-up scheduled
104,2023/02/21,Stark Ltd,missing,507.78,pending,Wroclaw,YES,Possible upsell
106,,Umbrella Corp,87,2841.62,pending,krakow,yes,Postponed due to weather
102,2023/05/04,missing,67,1084.44,completed,Warsaw,yes,Did not attend
106,30.06.2023,Wayne Ent.,59,373.54,Completed,krakow,No,Follow-up scheduled
106,30.05.2023,Stark Ltd,80,1542.7,completed,gdansk,yes,-
101,18-02-2023,Globex Inc,57,932.12,Completed,Warsaw,no,Did not attend
106,,Globex Inc,25,801.62,missed,wroclaw,No,Meeting went well
106,26.03.2023,missing,83,773.47,completed,warsaw,No,Unresponsive
103,02-05-2023,Soylent,20,428.27,pending,gdansk,no,Postponed due to weather
105,15.05.2023,-,33,2853.31,pending,Gdansk,YES,No decision yet
106,,-,missing,2645.01,completed,gdansk,YES,Follow-up scheduled
103,2023/04/21,Acme Corp,40,1827.99,pending,poznan,YES,No decision yet
101,24.02.2023,Umbrella Corp,71,1276.14,missed,Poznan,yes,Did not attend
103,2023/01/15,Acme Corp,21,2530.94,canceled,poznan,YES,Postponed due to weather
106,24-03-2023,Soylent,32,1790.97,pending,Warsaw,No,Postponed due to weather
105,03-01-2023,Acme Corp,67,324.81,completed,Wroclaw,No,No contact made
104,2023/06/28,missing,66,870.75,completed,wroclaw,no,Did not attend
104,01.01.2023,Initech,60,670.88,Completed,gdansk,YES,Meeting went well
102,2023/04/27,Stark Ltd,missing,,missed,krakow,No,Unresponsive
103,27.01.2023,Stark Ltd,42,2398.34,canceled,warsaw,No,No contact made
103,29.01.2023,Globex Inc,68,1303.82,completed,poznan,yes,No contact made
102,,Initech,83,1765.79,Completed,wroclaw,no,No contact made
103,05.05.2023,Stark Ltd,88,887.95,missed,warsaw,no,-
101,2023/03/08,Soylent,35,849.77,missed,gdansk,No,Did not attend
105,28-01-2023,Wayne Ent.,20,2020.25,canceled,gdansk,No,Unresponsive
102,2023/06/24,Acme Corp,70,603.2,pending,wroclaw,YES,No decision yet
105,2023/02/27,Globex Inc,77,1023.01,canceled,poznan,yes,Did not attend
101,2023/02/10,Globex Inc,missing,436.07,canceled,wroclaw,YES,Possible upsell
103,2023/03/10,Acme Corp,47,1989.47,pending,gdansk,YES,No contact made
101,03-04-2023,Initech,59,,Completed,Warsaw,no,No contact made
101,2023/06/27,missing,21,2354.78,pending,gdansk,no,No contact made
103,09-05-2023,Soylent,56,2532.24,missed,krakow,yes,No contact made
105,,Umbrella Corp,56,1812.38,Completed,Warsaw,No,missing
106,2023/06/22,missing,50,2478.78,pending,krakow,No,No contact made
103,06.01.2023,-,23,1350.51,pending,Warsaw,no,-
106,17.06.2023,Soylent,67,1491.23,missed,Poznan,no,Meeting went well
106,,Stark Ltd,81,1116.61,Completed,warsaw,yes,Meeting went well
103,2023/05/23,missing,missing,2886.33,Completed,Krakow,no,Very interested client
104,22.03.2023,Wayne Ent.,missing,1662.74,canceled,wroclaw,no,Unresponsive
102,10-06-2023,missing,26,2487.31,canceled,Warsaw,No,Possible upsell
106,,Soylent,68,778.44,Completed,Krakow,YES,-
101,07.04.2023,Globex Inc,25,2775.01,missed,Krakow,no,Did not attend
105,2023/06/10,-,missing,411.54,Completed,Krakow,No,Follow-up scheduled
106,,-,75,2513.37,canceled,Krakow,no,Postponed due to weather
105,29.05.2023,Stark Ltd,87,2293.21,missed,poznan,No,missing
106,2023/05/03,Initech,86,589.59,completed,poznan,yes,Unresponsive
101,13-02-2023,Initech,31,2095.08,pending,Poznan,YES,missing
106,,Initech,42,673.61,missed,Gdansk,No,No decision yet
103,08-03-2023,Stark Ltd,25,2006.3,canceled,Krakow,yes,Postponed due to weather
101,03-02-2023,Stark Ltd,25,823.66,pending,wroclaw,yes,No contact made
106,2023/03/28,Soylent,28,676.41,missed,poznan,YES,Did not attend
103,09-02-2023,Wayne Ent.,66,2824.77,Completed,wroclaw,no,Did not attend
106,16.04.2023,Acme Corp,58,1975.56,canceled,Gdansk,YES,missing
106,26-02-2023,Initech,46,1815.97,missed,poznan,YES,Meeting went well
105,2023/05/13,Soylent,missing,2439.06,missed,gdansk,No,Very interested client
105,01.01.2023,Soylent,85,615.83,completed,Krakow,YES,No decision yet
103,,Umbrella Corp,26,,missed,Poznan,yes,-
103,,Stark Ltd,54,1924.07,missed,wroclaw,YES,Very interested client
104,25-04-2023,Soylent,71,2520.33,pending,poznan,yes,Possible upsell
104,,-,89,2584.19,missed,poznan,yes,Did not attend
102,27.06.2023,Initech,37,201.69,pending,Warsaw,yes,Very interested client
105,25.02.2023,Initech,75,297.81,pending,Wroclaw,no,Possible upsell
106,08.05.2023,Stark Ltd,81,1072.16,completed,krakow,no,Very interested client
105,07-04-2023,Umbrella Corp,49,1952.27,completed,Warsaw,YES,Meeting went well
103,03.02.2023,Stark Ltd,34,651.65,completed,krakow,no,missing
104,,Wayne Ent.,missing,1117.78,missed,Poznan,no,No contact made
105,2023/01/15,Initech,55,1856.78,missed,Poznan,No,Very interested client
103,,Globex Inc,42,2024.06,Completed,gdansk,YES,Postponed due to weather
102,,Acme Corp,59,2078.07,canceled,Poznan,yes,Did not attend
105,,Stark Ltd,61,2463.42,missed,Poznan,no,Unresponsive
106,2023/03/16,-,39,2780.97,Completed,gdansk,YES,Very interested client
101,,Umbrella Corp,81,1282.04,missed,Krakow,no,Follow-up scheduled
106,2023/05/02,Initech,77,1292.83,missed,krakow,yes,Possible upsell
105,16.02.2023,Stark Ltd,78,,canceled,warsaw,No,No contact made
106,,Acme Corp,72,,completed,krakow,YES,Follow-up scheduled
106,2023/04/02,missing,49,2506.77,Completed,Gdansk,yes,Did not attend
103,06-02-2023,Initech,51,379.1,Completed,Warsaw,yes,No decision yet
106,,Wayne Ent.,29,2058.24,missed,Warsaw,yes,Did not attend
104,,missing,missing,2594.73,Completed,Gdansk,No,missing
105,24.06.2023,Initech,36,,Completed,Gdansk,No,Did not attend
104,,Globex Inc,46,856.51,pending,Poznan,no,missing
105,2023/06/04,Soylent,36,2878.94,Completed,Gdansk,YES,missing
104,06-02-2023,Stark Ltd,missing,1005.31,missed,wroclaw,YES,Very interested client
106,,Stark Ltd,30,421.47,pending,Wroclaw,yes,Very interested client
102,11-03-2023,Acme Corp,missing,2651.25,pending,Gdansk,YES,Did not attend
101,09-03-2023,Umbrella Corp,69,,missed,Wroclaw,No,Meeting went well
104,22.06.2023,-,59,671.6,canceled,Poznan,No,No contact made
103,10-05-2023,-,87,2952.85,canceled,krakow,no,-
101,16.06.2023,-,missing,368.18,missed,poznan,yes,Did not attend
106,2023/02/03,missing,25,1572.55,missed,Gdansk,yes,Very interested client
105,11.05.2023,Globex Inc,26,,Completed,wroclaw,No,Meeting went well
106,26-02-2023,Umbrella Corp,60,2682.01,Completed,krakow,YES,Postponed due to weather
103,09-01-2023,Acme Corp,75,1693.45,pending,krakow,yes,missing
103,,Wayne Ent.,81,1556.06,missed,Warsaw,yes,No contact made
106,,Globex Inc,36,908.65,Completed,Wroclaw,no,Meeting went well
101,11-06-2023,Acme Corp,missing,1410.08,Completed,warsaw,yes,missing
